127.0.0.1, 2015-11-18 19:54:57, POST, /start/default/user/login, HTTP/1.1, 303, 0.154000
127.0.0.1, 2015-11-18 19:54:57, GET, /start/default/user/login, HTTP/1.1, 200, 0.081000
127.0.0.1, 2015-11-18 19:54:57, GET, /start/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-18 19:55:07, POST, /start/default/user/login, HTTP/1.1, 303, 0.040000
127.0.0.1, 2015-11-18 19:55:07, GET, /start/default/user/login, HTTP/1.1, 200, 0.057000
127.0.0.1, 2015-11-18 19:55:07, GET, /start/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-18 19:55:10, GET, /start/default/user/register, HTTP/1.1, 200, 0.100000
127.0.0.1, 2015-11-18 19:55:10, GET, /start/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-18 19:55:24, POST, /start/default/user/register, HTTP/1.1, 303, 0.177000
127.0.0.1, 2015-11-18 19:55:24, GET, /start/default/index, HTTP/1.1, 200, 0.113000
127.0.0.1, 2015-11-18 19:55:24, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-18 19:55:24, GET, /start/static/js/share.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-11-18 19:55:24, GET, /start/static/js/ractive.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-11-18 19:55:25, POST, /start/default/load_messages, HTTP/1.1, 200, 0.027000
127.0.0.1, 2015-11-18 19:55:25, GET, /start/static/font-awesome-4.4.0/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-11-18 19:55:35, POST, /start/default/add_msg, HTTP/1.1, 200, 0.091000
127.0.0.1, 2015-11-18 19:55:45, POST, /start/default/add_msg, HTTP/1.1, 200, 0.076000
127.0.0.1, 2015-11-18 22:50:41, GET, /start/default/index, HTTP/1.1, 303, 0.046000
127.0.0.1, 2015-11-18 22:50:41, GET, /start/default/user/login, HTTP/1.1, 200, 0.030000
127.0.0.1, 2015-11-18 22:50:41, GET, /start/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-11-18 22:50:41, GET, /start/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-18 22:50:41, GET, /start/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-18 22:50:41, GET, /start/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-18 22:50:41, GET, /start/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-11-18 22:50:41, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-18 22:50:41, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-18 22:50:41, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-11-18 22:50:41, GET, /start/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-18 22:50:41, GET, /start/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-18 22:50:41, GET, /start/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-11-18 22:50:41, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-11-18 22:50:41, GET, /start/static/js/ractive.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-11-18 22:50:41, GET, /start/static/images/twitter.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-11-18 22:50:41, GET, /start/static/images/facebook.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-18 22:50:41, GET, /start/static/images/gplus-32.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-11-18 22:50:51, POST, /start/default/user/login, HTTP/1.1, 303, 0.035000
127.0.0.1, 2015-11-18 22:50:51, GET, /start/default/index, HTTP/1.1, 200, 0.025000
127.0.0.1, 2015-11-18 22:50:51, GET, /start/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-19 13:29:20, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2015-11-19 13:29:21, GET, /welcome/default/index, HTTP/1.1, 200, 0.400000
127.0.0.1, 2015-11-19 13:29:22, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.057000
127.0.0.1, 2015-11-19 13:29:35, GET, /start/default/index, HTTP/1.1, 303, 0.138000
127.0.0.1, 2015-11-19 13:29:35, GET, /start/default/user/login, HTTP/1.1, 200, 0.112000
127.0.0.1, 2015-11-19 13:29:35, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2015-11-19 13:29:36, GET, /start/static/js/ractive.min.js, HTTP/1.1, 304, 0.089000
127.0.0.1, 2015-11-19 13:29:36, GET, /start/static/js/share.js, HTTP/1.1, 304, 0.033000
127.0.0.1, 2015-11-19 13:29:39, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2015-11-19 13:29:39, GET, /welcome/default/index, HTTP/1.1, 200, 0.021000
127.0.0.1, 2015-11-19 13:29:39, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-11-19 13:30:02, POST, /start/default/user/login, HTTP/1.1, 303, 0.147000
127.0.0.1, 2015-11-19 13:30:02, GET, /start/default/index, HTTP/1.1, 200, 0.183000
127.0.0.1, 2015-11-19 13:30:02, GET, /start/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-19 13:30:03, POST, /start/default/load_messages, HTTP/1.1, 200, 0.048000
127.0.0.1, 2015-11-19 13:30:03, GET, /start/static/font-awesome-4.4.0/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.052000
